,msa,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,msa_name,msa_state,code
71,"Iowa City, IA",0,0,5.4,1.3,1.3,2,1.3,0,0.6,0.6,0,Iowa City,IA,26980
72,"Jackson, TN",12.5,10.5,8.8,13.2,4.4,7.7,9.9,8.4,9.2,6.9,5.4,Jackson,TN,27180
73,"Jacksonville, FL",10.6,10.8,9.7,9.1,7.2,6.4,8,7.1,7.6,7.5,8.5,Jacksonville,FL,27260
74,"Johnson City, TN",5.7,2.1,1.5,5.6,2.5,3,2.5,3.5,3,5.5,2.5,Johnson City,TN,27740
75,"Jonesboro, AR",5.3,4.4,6,2.5,4.1,3.3,4.9,1.6,7.1,3.9,5.4,Jonesboro,AR,27860
76,"Kingsport-Bristol-Bristol, TN-VA",3.9,2.6,5.3,3.3,4.6,2.9,2.9,1.6,4.9,3.6,2.6,Kingsport-Bristol-Bristol,"TN,VA",28700
77,"Kingston, NY",2.7,1.6,3.3,0.5,1.1,1.1,0.5,1.7,2.8,0,2.2,Kingston,NY,28740
78,"Knoxville, TN",5.1,5.6,5.8,4.4,5,4.8,4,3.6,3.3,3.4,4.3,Knoxville,TN,28940
79,"Kokomo, IN",4.9,1,3,1,3,5,4.8,2.4,3.6,3.6,7.3,Kokomo,IN,29020
80,"Lancaster, PA",4.5,2.4,1.4,2.4,1.8,1.3,2.9,1.7,2.4,3,1.5,Lancaster,PA,29540
81,"Lansing-East Lansing, MI",2.4,4.6,2.9,2.6,2.7,3.9,3.4,3.2,3.2,3.6,3.4,Lansing-East Lansing,MI,29620
82,"Laredo, TX",10.4,5.5,4.6,7,4.5,4.3,3.1,1.5,5.6,2.9,4.4,Laredo,TX,29700
83,"Las Cruces, NM",2.6,5.1,4.5,3.4,4.2,3.3,3.3,3.7,5.1,2.8,5.1,Las Cruces,NM,29740
84,"Lawton, OK",7.1,9.2,5.3,8,4.4,6.4,9.8,9.7,8.4,7.6,3.1,Lawton,OK,30020
85,"Lebanon, PA",3.2,0.8,1.6,6.1,3.8,0.7,2.2,1.5,5.2,2.9,2.2,Lebanon,PA,30140
86,"Lewiston-Auburn, ME",0.9,3.7,1.9,0,2.8,3.7,0,0.9,1.9,0,0,Lewiston-Auburn,ME,30340
87,"Lexington-Fayette, KY",2.3,4.5,3.3,3,4.6,3.6,3.7,4.9,4.5,4,4.9,Lexington-Fayette,KY,30460
88,"Lima, OH",9.4,1.9,1.9,5.7,3.9,1.9,7.5,2.9,4.8,2.9,7.7,Lima,OH,30620
89,"Lincoln, NE",1.8,2.8,2,1.3,0.7,1.3,1.3,1.6,2.2,0.3,3.1,Lincoln,NE,30700
90,"Little Rock-North Little Rock-Conway, AR",14.3,13.2,9.5,7.4,6.3,9.8,9.1,7.7,8.4,8.6,10,Little Rock-North Little Rock-Conway,AR,30780
91,"Longview, WA",7.1,3,2,1,1.9,3.8,3.9,1,0,2,1.9,Longview,WA,31020
93,"Lubbock, TX",5.3,5.7,3.3,5.1,3.6,3.8,4,3,4.6,5.5,2.9,Lubbock,TX,31180
94,"Lynchburg, VA",2.9,2.5,3.3,2,6.4,2.3,2.3,1.9,5.4,3.5,4.6,Lynchburg,VA,31340
95,"Madison, WI",0.7,2,2.5,1.9,0.9,1.8,2.4,1.8,2.1,2.7,2,Madison,WI,31540
96,"Mansfield, OH",2.3,5.5,2.4,2.4,3.2,2.4,2.4,0.8,3.3,2.5,5,Mansfield,OH,31900
