,msa,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,msa_name,msa_state,code
406,"Stockton, CA",8.5,6.6,5.1,7.5,9.2,12.5,12.7,6.6,9.4,8.9,8.5,Stockton,CA,44700
408,"Terre Haute, IN",4.05,4.05,4.05,4.05,4.05,3.5,4.6,3.5,4.05,4.05,4.05,Terre Haute,IN,45460
409,"Texarkana, TX",10.2,11.1,3.7,11,2.9,7.2,5.3,4,3.3,5.4,7.4,Texarkana,TX,45500
410,"The Villages, FL",0.95,0.95,0.95,0.95,0.95,0.95,0,1.9,1.8,0.8,0.8,The Villages,FL,45540
411,"Trenton-Ewing, NJ",5.7,7.1,6.6,4.6,5.4,6.8,7,10.8,8.6,5.4,6.8,Trenton-Ewing,NJ,45940
412,"Tucson, AZ",7.5,7.7,9.5,5.4,8,7.5,5.7,7.1,5.8,4.5,4.8,Tucson,AZ,46060
413,"Tyler, TX",3.1,4.1,6.4,2.4,6.3,3.7,2.8,3.7,4.55,5.4,3.1,Tyler,TX,46340
414,"Urban Honolulu, HI",1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.5,1.6,Urban Honolulu,HI,46520
415,"Valdosta, GA",2.3,1.6,3.1,8.2,3.8,5.7,3.5,4.85,6.2,5.55,4.9,Valdosta,GA,46660
416,"Victoria, TX",6,3.5,1.8,2.6,6.9,2.5,6.2,3.1,4,3,3.5,Victoria,TX,47020
417,"Vineland-Bridgeton, NJ",9.8,7.1,9.6,5.1,6.3,5.35,4.4,2.5,10.8,10.2,7.1,Vineland-Bridgeton,NJ,47220
418,"Virginia Beach-Norfolk-Newport News, VA-NC",7.3,8.1,6.4,6.5,6.6,6.6,6.8,6.9,6.4,8,9.5,Virginia Beach-Norfolk-Newport News,"VA,NC",47260
419,"Walla Walla, WA",2.35,2.35,2.35,2.35,2.35,2.35,1.6,2.35,3.1,6.2,3.1,Walla Walla,WA,47460
421,"Washington-Arlington-Alexandria, DC-VA-MD-WV",8.8,9.2,9,7.1,6.2,5.3,4.3,4.4,4.3,6,5.3,Washington-Arlington-Alexandria,"DC,VA,MD,WV",47900
422,"Waterloo-Cedar Falls, IA",1.8,3.1,1.8,1.2,2.4,2.4,3.6,3.85,4.1,2.3,1.8,Waterloo-Cedar Falls,IA,47940
423,"Watertown-Fort Drum, NY",0.4,0.4,0.4,0.4,0.4,0.4,0.8,0,0.8,2.5,1.7,Watertown-Fort Drum,NY,48060
424,"Weirton-Steubenville, WV-OH",2.85,3.2,2.5,3.75,5,3.75,3.75,3.35,3.35,3.35,1.7,Weirton-Steubenville,"WV,OH",48260
425,"Wenatchee-East Wenatchee, WA",1.9,2.8,4.6,1.8,0.9,5.3,3.1,2.65,0,0.9,0.9,Wenatchee-East Wenatchee,WA,48300
426,"West Palm Beach-Boca Raton-Boynton Beach, FL",7.1,7.5,7.6,6.8,6.4,5,5.5,5.4,6.6,6.8,5.3,West Palm Beach-Boca Raton-Boynton Beach,FL,33100
427,"Wheeling, WV-OH",0.7,1.4,2.1,2.8,2.45,1.4,0,0,0,3.5,2.8,Wheeling,"WV,OH",48540
428,"Wichita, KS",4.9,7.2,5.5,4.3,2.9,4.9,3.8,3.5,4.1,4.7,6.5,Wichita,KS,48620
429,"Wilmington, DE-MD-NJ",5.5,5,7.9,5,6.8,4.9,7,5.6,6.5,8.2,7.3,Wilmington,"DE,MD,NJ",37980
430,"Winston-Salem, NC",5.2,5.05,4.9,4.6,3.5,4.1,2,3.5,3.4,3.45,3.45,Winston-Salem,NC,49180
431,"Worcester, MA-CT",1.1,2.3,1.9,2,1.7,2,1.6,1.6,0.9,1.6,1.4,Worcester,"MA,CT",49340
432,"Yakima, WA",4.2,6.4,8.1,9.05,10,6.5,7.2,6.4,2.8,8.4,8.4,Yakima,WA,49420
433,"York-Hanover, PA",4.25,3.8,4.7,4.2,2.5,4.6,3.7,4.3,3.2,4.3,4.3,York-Hanover,PA,49620
434,"Youngstown-Warren-Boardman, OH-PA",6.45,6.45,7.2,5.7,5.9,5.8,5.7,5,4.3,5,5,Youngstown-Warren-Boardman,"OH,PA",49660
435,"Yuma, AZ",3.7,6.8,3.6,5.1,6.1,7.1,3.4,5.9,3.9,4.9,4.4,Yuma,AZ,49740
